participantId,task,format,response,start_time,end_time,duration_sec,help_count
60fce3df91350150e2e88423,reading-task-tabular-4,yaml,Bob,1744921174421,1744921200489,26.068,0
60fce3df91350150e2e88423,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1744921207186,1744921261357,54.171,0
67d29234dbfdb6668d124115,reading-task-tabular-1,yaml,77,1746149670117,1746149727475,57.358,0
67d29234dbfdb6668d124115,reading-task-tabular-2,yaml,quiz1,1746149736889,1746149804184,67.295,0
67d29234dbfdb6668d124115,reading-task-tabular-3,yaml,3,1746149810065,1746149893621,83.556,0
67d29234dbfdb6668d124115,reading-task-tabular-4,yaml,Alice,1746149905406,1746149955392,49.986,0
67d29234dbfdb6668d124115,reading-task-tabular-5,yaml,['Alice'],1746149961858,1746150056725,94.867,0
65cf6d8a589a67afcab54e6f,reading-task-tabular-1,hjson,87,1746384034095,1746384118016,83.921,0
65cf6d8a589a67afcab54e6f,reading-task-tabular-2,hjson,quiz2,1746384123325,1746384164280,40.955,0
65cf6d8a589a67afcab54e6f,reading-task-tabular-3,hjson,4,1746384168482,1746384247013,78.531,0
65cf6d8a589a67afcab54e6f,reading-task-tabular-4,hjson,Bob,1746384250850,1746384272478,21.628,0
65cf6d8a589a67afcab54e6f,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746384276429,1746384323988,47.559,0
672d98919cc177d28c204e76,reading-task-tabular-1,json5,87,1744921174446,1744921210200,35.754,0
672d98919cc177d28c204e76,reading-task-tabular-2,json5,quiz2,1744921223456,1744921317217,93.761,0
